id,name,official_url,government_level,state,ministry,department,organization,category,subcategories,relevance,data_domains,formats,access_method,api_available,historical_data,captcha,authentication_required,machine_readability,update_frequency,identifier_fields,discovered_from,verified_at,verification_status,http_status,final_url,page_title,verification_channel,platform,cppp_listed_url,notes
proc-kl,e-Procurement System — Kerala,https://etenders.kerala.gov.in,state,Kerala,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://etenders.kerala.gov.in,Kerala eProcurement System,http_head_get_sandbox,GePNIC,https://etenders.kerala.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-kl-alt0,Local Self Government Department Kerala — tenders,https://tender.lsgkerala.gov.in,state,Kerala,,,,procurement,tender_publication,MEDIUM,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tender.lsgkerala.gov.in/pages/displayTender.php,"Official website of Local Self Government Department, Kerala",http_head_get_sandbox,unknown,,Additional/secondary official procurement surface for this State/UT.
proc-la,e-Procurement System — Ladakh,https://tenders.ladakh.gov.in/,ut,Ladakh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tenders.ladakh.gov.in/,Ladakh eProcurement System,http_head_get_sandbox,GePNIC,,"Platform: GePNIC. This State/UT is ABSENT from the official CPPP State/UT e-procurement link list parsed on 2026-08-21. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-ld,e-Procurement System — Lakshadweep,https://tendersutl.gov.in,ut,Lakshadweep,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tendersutl.gov.in,Lakshadweep- eProcurement System,http_head_get_sandbox,GePNIC,http://tendersutl.gov.in/nicgep/app,"Platform: GePNIC. CPPP list also publishes http://tendersutl.gov.in/nicgep/app (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-mp,e-Procurement System — Madhya Pradesh,https://mptenders.gov.in/nicgep/app,state,Madhya Pradesh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://mptenders.gov.in/nicgep/app,eProcurement System Government of Madhya Pradesh,http_head_get_sandbox,GePNIC,https://mptenders.gov.in/nicgep/app,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-mh,e-Procurement System — Maharashtra,https://mahatenders.gov.in,state,Maharashtra,,,,procurement,tender_publication,CRITICAL,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://mahatenders.gov.in,,http_head_get_sandbox,GePNIC,https://mahatenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-mn,e-Procurement System — Manipur,https://manipurtenders.gov.in,state,Manipur,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://manipurtenders.gov.in,Manipur - eProcurement System,http_head_get_sandbox,GePNIC,https://manipurtenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-ml,e-Procurement System — Meghalaya,https://meghalayatenders.gov.in,state,Meghalaya,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://meghalayatenders.gov.in,Meghalaya eProcurement System,http_head_get_sandbox,GePNIC,https://meghalayatenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-mz,e-Procurement System — Mizoram,https://mizoramtenders.gov.in,state,Mizoram,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://mizoramtenders.gov.in,Mizoram - eProcurement System,http_head_get_sandbox,GePNIC,https://mizoramtenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-nl,e-Procurement System — Nagaland,https://nagalandtenders.gov.in,state,Nagaland,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://nagalandtenders.gov.in,Nagaland - eProcurement System,http_head_get_sandbox,GePNIC,https://nagalandtenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-od,e-Procurement System — Odisha,https://www.tendersodisha.gov.in,state,Odisha,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://www.tendersodisha.gov.in,eProcurement System Government of Odisha,http_head_get_sandbox,GePNIC,https://tendersodisha.gov.in,"Platform: GePNIC. CPPP list also publishes https://tendersodisha.gov.in (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-py,e-Procurement System — Puducherry,https://pudutenders.gov.in,ut,Puducherry,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://pudutenders.gov.in,Puducherry eProcurement System,http_head_get_sandbox,GePNIC,https://pudutenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-pb,e-Procurement System — Punjab,https://eproc.punjab.gov.in,state,Punjab,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eproc.punjab.gov.in,Punjab Govt. eProcurement System,http_head_get_sandbox,GePNIC,http://eprocpbpwd.gov.in,"Platform: GePNIC. The URL published in the official CPPP State/UT list (http://eprocpbpwd.gov.in) did NOT resolve on 2026-08-21 (URLERR [Errno 8] nodename nor servname provided, or not known); the live portal above was found via IGOD/WebSearch and verified. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-rj,e-Procurement System — Rajasthan,https://eproc.rajasthan.gov.in,state,Rajasthan,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eproc.rajasthan.gov.in,Rajasthan eProcurement System,http_head_get_sandbox,GePNIC,https://eproc.rajasthan.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-rj-alt0,Rajasthan State Public Procurement Portal,https://sppp.rajasthan.gov.in,state,Rajasthan,,,,procurement,tender_publication,MEDIUM,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://sppp.rajasthan.gov.in,Rajasthan State Public Procurement Portal,http_head_get_sandbox,unknown,,Additional/secondary official procurement surface for this State/UT.
proc-sk,e-Procurement System — Sikkim,https://sikkimtender.gov.in,state,Sikkim,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://sikkimtender.gov.in,Sikkim- eProcurement System,http_head_get_sandbox,GePNIC,http://sikkimtender.gov.in,"Platform: GePNIC. CPPP list also publishes http://sikkimtender.gov.in (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-tn,e-Procurement System — Tamil Nadu,https://tntenders.gov.in,state,Tamil Nadu,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tntenders.gov.in,TN e-Procurement,http_head_get_sandbox,GePNIC,https://tntenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-ts,e-Procurement System — Telangana,https://eprocurement.telangana.gov.in/,state,Telangana,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://eprocurement.telangana.gov.in/,:: Telangana eProcurement Portal ::,http_head_get_sandbox,state-specific,http://www.eprocurement.gov.in/,Platform: state-specific. The URL published in the official CPPP State/UT list (http://www.eprocurement.gov.in/) did NOT resolve on 2026-08-21 (URLERR timed out); the live portal above was found via IGOD/WebSearch and verified.
proc-tr,e-Procurement System — Tripura,https://tripuratenders.gov.in,state,Tripura,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://tripuratenders.gov.in,HCI Node-2 tripura,http_head_get_sandbox,GePNIC,http://tripuratenders.gov.in,"Platform: GePNIC. CPPP list also publishes http://tripuratenders.gov.in (verified). Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-up,e-Procurement System — Uttar Pradesh,https://etender.up.nic.in,state,Uttar Pradesh,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://etender.up.nic.in,,http_head_get_sandbox,GePNIC,https://etender.up.nic.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-uk,e-Procurement System — Uttarakhand,https://uktenders.gov.in,state,Uttarakhand,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://uktenders.gov.in,eProcurement System Govt. of Uttarahand eProcurement System,http_head_get_sandbox,GePNIC,https://uktenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
proc-wb,e-Procurement System — West Bengal,https://wbtenders.gov.in,state,West Bengal,,,,procurement,tender_publication,HIGH,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,C,unknown,tender_id; nit_number; organisation_chain,CPPP States_eProc_relatedlinks.pdf + IGOD crawl + WebSearch (gov.in-restricted),2026-08-21,VERIFIED,200,https://wbtenders.gov.in,E-Procurement,http_head_get_sandbox,GePNIC,https://wbtenders.gov.in,"Platform: GePNIC. Standard GePNIC public pages observed across deployments: FrontEndTendersByOrganisation, FrontEndTendersByClassification, FrontEndListTendersbyDate, WebTenderStatusLists, StandardBiddingDocuments."
mh-pwd,"Public Works Department, Maharashtra",https://pwd.maharashtra.gov.in,state,Maharashtra,,Public Works Department,,infrastructure,roads; bridges; buildings,CRITICAL,roads; works; projects,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://pwd.maharashtra.gov.in,मुख्यपृष्ठ | सार्वजनिक बांधकाम विभाग | महाराष्ट्र शासन | भारत,http_head_get_sandbox,,,PRIMARY Phase-1 source. docs/03 assumes an 'MH PWD — Works' feed; that specific dataset/endpoint is NOT yet located and must be confirmed before the ingestion design is fixed.
mh-finance,"Finance Department, Maharashtra",https://finance.maharashtra.gov.in,state,Maharashtra,,Finance Department,,finance,,CRITICAL,budget; finance,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://finance.maharashtra.gov.in,Homepage | वित्त विभाग | भारत,http_head_get_sandbox,,,
mh-mahakosh,"Directorate of Accounts and Treasuries (Mahakosh), Maharashtra",https://mahakosh.maharashtra.gov.in,state,Maharashtra,,Finance Department,Directorate of Accounts and Treasuries,finance,,CRITICAL,treasury; expenditure,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,treasury_code; ddo_code; budget_head,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://mahakosh.maharashtra.gov.in,Mahakosh : The Official Website,http_head_get_sandbox,,,
mh-ifms,Integrated Financial Management System (IFMS) — Mahakosh,https://www.mahakosh.gov.in,state,Maharashtra,,Finance Department,,finance,,CRITICAL,treasury; expenditure; payments,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,partial,unknown,unknown,ddo_code; budget_head; financial_year,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://www.mahakosh.gov.in,Government of Maharashtra - Finance Department,http_head_get_sandbox,,,
mh-beams,"BEAMS — Budget Estimation, Allocation and Monitoring System, Maharashtra",https://beams.mahakosh.gov.in,state,Maharashtra,,Finance Department,,finance,allocation; budget_distribution,CRITICAL,budget; allocation; distribution; expenditure,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,budget_head; ddo_code; scheme_code; financial_year,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://beams.mahakosh.gov.in/Beams5/BudgetMVC/index.jsp,"BEAMS :: Budget Estimation, Allocation & Monitoring System",http_head_get_sandbox,,,HIGHEST-PRIORITY Phase-1 investigation target alongside mh-pwd.
mh-gras,"GRAS — Government Receipt Accounting System, Maharashtra",https://gras.mahakosh.gov.in,state,Maharashtra,,Finance Department,,finance,,MEDIUM,receipts; revenue,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://gras.mahakosh.gov.in/echallan/,GRAS-Government Receipt Accounting System,http_head_get_sandbox,,,
mh-arthwahini,"ARTHWAHINI — TreasuryNet Management System, Maharashtra",https://arthwahini.mahakosh.gov.in,state,Maharashtra,,Finance Department,,finance,,MEDIUM,treasury,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://arthwahini.mahakosh.gov.in/arth/frmlogin.php,"Dashboard : Finance Department, Government of Maharashtra",http_head_get_sandbox,,,
mh-sevaarth,"SEVAARTH — Payroll System, Maharashtra",https://sevaarth.mahakosh.gov.in,state,Maharashtra,,Finance Department,,finance,,LOW,payroll,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://sevaarth.mahakosh.gov.in,,http_head_get_sandbox,,,Establishment expenditure only; low relevance to works ledger.
mh-mahatenders,"eProcurement System, Maharashtra (mahatenders)",https://mahatenders.gov.in,state,Maharashtra,,,,procurement,tender_publication,CRITICAL,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,tender_id; nit_number,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://mahatenders.gov.in,,http_head_get_sandbox,,,Phase-1 primary procurement source. Note: the official CPPP list also names a secondary state system (maharashtra.etenders.in) which was NOT verified in this pass.
mh-rdd,"Rural Development and Panchayat Raj Department, Maharashtra",https://rdd.maharashtra.gov.in,state,Maharashtra,,Rural Development and Panchayat Raj,,local_government,,HIGH,rural_roads; local_government; schemes,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://rdd.maharashtra.gov.in,Homepage | ग्रामविकास आणि पंचायत राज विभाग | भारत,http_head_get_sandbox,,,Route to Zilla Parishad / Panchayat Samiti / Gram Panchayat works and to state PMGSY implementation.
mh-urban,"Urban Development Department (Nagar Vikas Vibhag), Maharashtra",https://urban.maharashtra.gov.in,state,Maharashtra,,Urban Development Department,,urban,,HIGH,urban; municipal,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://urban.maharashtra.gov.in,Homepage | नगरविकास विभाग | भारत,http_head_get_sandbox,,,
mh-plan,"Planning Department, Maharashtra",https://plan.maharashtra.gov.in,state,Maharashtra,,Planning Department,,finance,,HIGH,planning; district_plans,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://plan.maharashtra.gov.in,"मुख्यपृष्ठ | नियोजन विभाग, महाराष्ट्र शासन | भारत",http_head_get_sandbox,,,District Annual Plan allocations are a likely route to district-level allocation data (docs/19 cascade).
mh-msrdc,Maharashtra State Road Development Corporation (MSRDC),https://msrdc.in,state,Maharashtra,,,MSRDC,infrastructure,roads; expressways,HIGH,roads; projects,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://msrdc.in:443/1307/Home,,http_head_get_sandbox,,,State road PSU on a .com-style domain (msrdc.in) — listed in IGOD as the official MSRDC site.
mh-msrtc,Maharashtra State Road Transport Corporation,https://msrtc.maharashtra.gov.in,state,Maharashtra,,,MSRTC,infrastructure,,LOW,transport,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://msrtc.maharashtra.gov.in/GeneralPages/Home.aspx,Welcome to MSRTC :: Maharashtra State Road Transport Corporation,http_head_get_sandbox,,,
mh-mrsac,Maharashtra Remote Sensing Application Centre (MRSAC),https://mrsac.gov.in,state,Maharashtra,,,MRSAC,gis,,CRITICAL,gis; boundaries; assets,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://mrsac.gov.in/MRSAC/,Home Maharashtra Remote Sensing Application Centre,http_head_get_sandbox,,,Phase-1 GIS candidate for district/taluka/village boundaries and road geometry.
mh-wrd,"Water Resources Department, Maharashtra",https://wrd.maharashtra.gov.in,state,Maharashtra,,Water Resources Department,,infrastructure,,MEDIUM,irrigation; water,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://wrd.maharashtra.gov.in,"मुख्य पृष्ठ - जलसंपदा विभाग, महाराष्ट्र शासन, भारत",http_head_get_sandbox,,,
mh-water,"Water Supply and Sanitation Department, Maharashtra",https://water.maharashtra.gov.in,state,Maharashtra,,Water Supply and Sanitation,,infrastructure,,MEDIUM,water,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://water.maharashtra.gov.in,मुख्यपृष्ठ | पाणी पुरवठा व स्वच्छता विभाग | भारत,http_head_get_sandbox,,,
mh-housing,"Housing Department, Maharashtra",https://housing.maharashtra.gov.in,state,Maharashtra,,Housing Department,,infrastructure,,LOW,housing,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://housing.maharashtra.gov.in,Homepage | गृहनिर्माण विभाग | भारत,http_head_get_sandbox,,,
mh-mhada,Maharashtra Housing and Area Development Authority (MHADA),https://www.mhada.gov.in,state,Maharashtra,,,MHADA,infrastructure,,LOW,housing,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://www.mhada.gov.in/mr,MHADA | Maharashtra Housing and Area Development Authority,http_head_get_sandbox,,,
mh-transport,"Motor Vehicles Department (RTO), Maharashtra",https://transport.maharashtra.gov.in,state,Maharashtra,,Transport Department,,infrastructure,,LOW,transport,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://transport.maharashtra.gov.in:443/1035/Home,"मोटार वाहन विभाग, महाराष्ट्र",http_head_get_sandbox,,,
mh-igr,"Registration and Stamps Department (IGR), Maharashtra",https://igrmaharashtra.gov.in,state,Maharashtra,,Registration and Stamps,,revenue,,MEDIUM,revenue; land,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://igrmaharashtra.gov.in,नोंदणी व मुद्रांक विभाग - महाराष्ट्र शासन,http_head_get_sandbox,,,Stamp duty is a state revenue head in docs/05 TaxHead.
mh-rfd,"Revenue and Forest Department, Maharashtra",https://rfd.maharashtra.gov.in,state,Maharashtra,,Revenue and Forest Department,,revenue,,MEDIUM,revenue; land,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://rfd.maharashtra.gov.in,Revenue Department Government Of Maharashtra,http_head_get_sandbox,,,
mh-mwrra,Maharashtra Water Resources Regulatory Authority,https://mwrra.maharashtra.gov.in,state,Maharashtra,,,MWRRA,regulator,,LOW,water,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://mwrra.maharashtra.gov.in,Maharashtra Water Resources Regulatory Authority,http_head_get_sandbox,,,
mh-meda,Maharashtra Energy Development Agency (MEDA),https://www.mahaurja.maharashtra.gov.in,state,Maharashtra,,,MEDA,infrastructure,,LOW,energy,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://www.mahaurja.maharashtra.gov.in,मुख्य पृष्ठ - महाराष्ट्र ऊर्जा विकास एजन्सी,http_head_get_sandbox,,,
mh-dist-ahmednagar,Ahilyanagar (Ahmednagar) District,https://ahmednagar.nic.in,state,Maharashtra,,,,district_portal,,MEDIUM,district; tenders; notices,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,unknown,unknown,,IGOD crawl (sg/MH) 2026-08-21,2026-08-21,VERIFIED,200,https://ahilyanagar.maharashtra.gov.in/,अहिल्यानगर | Official website of Ahilyanagar District Administration | भारत,http_head_get_sandbox,,,District portal. IGOD lists 40 Maharashtra district entries; only those verified in this pass are itemised here. District portals typically carry local tender notices and scheme information; field exposure varies and is NOT yet assessed.
